-8.441652278394965,-10.295517271595111
-8.425812437110407,-10.284949954768809
-8.437633643207139,-10.249746994457524
-8.557928275168877,-10.12118905595508
-8.606795613740145,-9.933835464608832
-8.539528110863232,-9.612369191059448
-8.57300670398866,-9.397626257301797
-8.422102593353015,-9.220082870210065
-8.050623140918615,-9.10285010418124
-7.51240025324044,-9.136492470294405
0.0,0.0
6.7926610139747834e-06,0.00039984545544022765
0.000592529116766323,0.0005409328502402715
-0.002347769458434721,0.00478894436129874
-0.002721738242274915,0.004213553285064945
-0.0019177162075732124,0.0018700258337898058
0.007175140606407593,-0.004080193100952471
0.024778914246327437,-0.00876642790376651
0.08912425864642957,-0.014775588456796603
0.05942127408966673,0.0990337723556912
-0.15280438823792158,0.3399984603776185
-0.4681965723488083,0.4690090896789819
2.5844828964431916,-1.1861995641032435
3.2425583232594666,-0.9983955787177132
3.2469259088926297,-0.987873809909356
3.276961968350808,-1.0459970308433302
3.4217746773762028,-1.3312704237547799
2.4990159978224167,-2.2359587799761598
2.499264985771144,-2.4725446971934315
2.476770089265507,-2.282054938951331
2.329002756727927,-1.8475772251671052
2.1215381926507275,-1.5590548495647556
3.378015491218448,-0.7809284935202648
3.41765253621951,-0.8084663157495385
3.448420630837183,-0.9409788855778499
3.510605847481793,-0.842314013614114
3.644892141148888,-0.9686921149287028
3.8452032061971875,-1.4612253737409706
3.812240407403108,-1.6863224775431045
3.6768276483546605,-1.737380029899803
3.5618385004872075,-1.962527406230637
3.3110871944163307,-2.1041135181650334
2.8732967533839857,-2.191547698733398
2.379278875892473,-2.331116167307776
1.8273152486176016,-2.3258256492621094
1.2490573862585346,-2.3993041137576077
0.6548677888008225,-2.3632062717863085
0.045016768809997915,-2.3882439184306796
-0.5413636955261101,-2.3512777936673506
-1.1449669451696844,-2.3522764598620043
-1.7179072379382696,-2.3088056806920947
-2.2887892528153233,-2.249668271421633
-2.8602562445881854,-2.1750472638426013
-3.412669605944926,-2.120775352218334
-3.9940765838295613,-2.0979329276033325
-4.561913625531288,-2.003555234553885
-5.153788651098264,-1.972276254717477
-5.66748491236729,-1.849004223639695
-6.218292539213718,-1.804116564712978
-6.736666644712081,-1.685060325570558
-7.2334721037689835,-1.6622067401197933
-7.763885816996302,-1.6246280262414252
-8.2819148730611,-1.6305777060832205
-8.770770344761084,-1.6816211478090086
-9.260413148772352,-1.7054491179144868
-9.776910622169028,-1.8458824946545327
-10.276602045712531,-1.922452440530872
-10.718139827674744,-2.1480960535848768
-11.173209177726514,-2.3875367505346126
-11.577652967595807,-2.69431243786662
-11.940028557571528,-2.986021140745922
-12.337532791440895,-3.2667636451420474
-12.69531094735154,-3.602587095885808
-13.070974005633444,-3.8740600213495715
